k,pos_e,pos_n,pos_u,vel_e,vel_n,vel_u,yaw,p_vel_var,p_pos_var,pos_err,gt_e,gt_n
500,353.35610855798484,139.2604580210702,-33.189863499999994,3.555121034980375,0.000620722097788408,0.001255800000000015,0.00156,0.5058476482380113,4.0515,0.34152052447316883,353.0145881076035,139.2606829827686
501,353.7060460898681,139.25679795044127,-33.192655419999994,3.638533890589655,-0.021799105370539425,-0.02568566399999986,0.00146,0.5117193334402071,4.103584764823801,0.6914688964180452,353.0145881076035,139.2606829827686
502,354.0653587296389,139.25774049757436,-33.191447486399994,3.744849745383524,0.006915774296161749,0.011112989120000217,0.00056,0.5175950620431575,4.156256698167822,1.0507747419650522,353.0145881076035,139.2606829827686
503,354.43404791512773,139.25652026165187,-33.18453668748799,3.842877001156549,-0.004734990269151861,0.06357934999040023,0.00221,0.5234663428964823,4.209516204372138,1.41946591132855,353.0145881076035,139.2606829827686
504,354.80823004539366,139.2523912139641,-33.18407125248895,3.9009422799694935,-0.01978871534612515,0.004282001991168224,0.0048000000000000004,0.5293401396554563,4.263362838661786,1.7936611035615064,353.0145881076035,139.2606829827686
505,355.18816471079197,139.25249478157733,-33.187936552289834,3.945063823794571,0.005984971028213358,-0.035560758168125185,0.0036000000000000003,0.5352061028329795,4.317796852627332,2.1735920262475648,353.0145881076035,139.2606829827686
506,355.5754441758463,139.25346986861106,-33.183213128106644,4.04010635302949,0.006003051951224162,0.043455502485324954,-0.0002199999999999997,0.5410761060975768,4.372817462910629,2.5608662267427826,353.0145881076035,139.2606829827686
507,355.9735693517431,139.25268335277295,-33.16981907785811,4.125733275196648,-0.006727169154696724,0.12322526228649895,-0.0010499999999999997,0.5469423870064031,4.428425073520387,2.9589920576523823,353.0145881076035,139.2606829827686
508,356.382268118056,139.25533733083222,-33.15625705162946,4.2133294270597865,0.01938365752068722,0.1247706413035791,0.0013700000000000006,0.5527825738290774,4.484619312221027,3.367684253132395,353.0145881076035,139.2606829827686
509,356.79425567179044,139.251171482059,-33.1431154874991,4.292657348149653,-0.021345672161892117,0.12090238999929291,0.0035500000000000006,0.5586583374327487,4.541397569603935,3.779679531972579,353.0145881076035,139.2606829827686
510,357.21467454339603,139.24873634811985,-33.12927174849917,4.381780646090965,-0.009199121811688308,0.12736239879934946,0.004020000000000001,0.5645357730242963,4.59876340334721,4.200103426132229,353.0145881076035,139.2606829827686
511,357.64759977404515,139.2452599204608,-33.11430300861924,4.528935542847708,-0.020470275979879094,0.1377124068954015,0.001240000000000001,0.5704133346107256,4.656716980649639,4.633037337669018,353.0145881076035,139.2606829827686
512,358.09993092010876,139.2484064937324,-33.0986832679297,4.858415099545052,0.015062394031093862,0.14370161434376946,-0.0028099999999999996,0.5762872589077301,4.715258314110712,5.08535763077503,353.0145881076035,139.2606829827686
513,358.58401613482886,139.24955910614335,-33.07973960649532,5.053065120496431,0.0005713145274761986,0.1742816851962679,-0.0036299999999999995,0.5821604708816879,4.774387040001485,5.569439136131604,353.0145881076035,139.2606829827686
514,359.08604021611984,139.24823801253666,-33.05653693797569,5.236622331346969,-0.012060411843015562,0.21346455038056655,-0.0017599999999999994,0.5880305281406238,4.8341030870896535,6.071464863053348,353.0145881076035,139.2606829827686
515,359.6011537948941,139.2455771206293,-33.029317982937634,5.380916423730379,-0.014002855895241514,0.2504143863501213,0.0016200000000000003,0.5938984335735461,4.894406139903716,6.586583009426427,353.0145881076035,139.2606829827686
516,360.13224684518406,139.2409598997195,-33.00894304430262,5.54038273468907,-0.022577635155224526,0.18744943544211165,0.0035600000000000007,0.5997637665252836,4.955295983261071,7.1176860639298765,353.0145881076035,139.2606829827686
517,360.6785344260119,139.23373784012264,-32.99184860075841,5.700607078031862,-0.04464316705302273,0.15726888060674282,0.0010700000000000006,0.605629454674241,5.0167723599136,7.66399368555046,353.0145881076035,139.2606829827686
518,361.24941796156065,139.22880545664742,-32.97937321269774,5.940850517229795,-0.03765807425973393,0.11477357015820348,-0.002509999999999999,0.6115000024738533,5.078835305381024,8.234891553645095,353.0145881076035,139.2606829827686
